,face_engaged,face_glasses,face_happy,face_lefteyeclosed,face_lookingaway,face_mouthmoved,face_mouthopen,face_pitch,face_righteyeclosed,face_roll,face_size,face_yaw,hip_rot,index,shoulder_rot,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HeadX,HeadY,HeadZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,NeckX,NeckY,NeckZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,SpineBaseX,SpineBaseY,SpineBaseZ,SpineMidX,SpineMidY,SpineMidZ,SpineShoulderX,SpineShoulderY,SpineShoulderZ,WristLeftX,WristLeftY,WristLeftZ,WristRightX,WristRightY,WristRightZ,pedes_posX,pedes_posY,pedes_posZ,Activity
145,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.002796897,3,0.15003198,-0.120120488,0.2798179,0.856393039,0.024143096,0.05819231,0.872882843,-0.107819669,0.281484067,0.941054,-0.283830583,-0.006028567,1.00917566,-0.223605871,-0.058611423,1.0093441,-0.102199934,0.201669216,0.9469088,-0.170902357,0.216393963,0.92867136,-0.05998975,0.14397487,0.9454378,-0.2582385,-0.03265068,1.02688134,-0.1797916,0.08769457,0.9903536,-0.121300228,0.173628956,0.9586527,-0.140478134,0.145150244,0.89016366,-0.112721555,0.06444817,0.89671725,-0.1797916,0.08769457,0.9903536,Approaching
146,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.002796897,3,0.15003198,-0.120120488,0.2798179,0.856393039,0.024143096,0.05819231,0.872882843,-0.107819669,0.281484067,0.941054,-0.283830583,-0.006028567,1.00917566,-0.223605871,-0.058611423,1.0093441,-0.102199934,0.201669216,0.9469088,-0.170902357,0.216393963,0.92867136,-0.05998975,0.14397487,0.9454378,-0.2582385,-0.03265068,1.02688134,-0.1797916,0.08769457,0.9903536,-0.121300228,0.173628956,0.9586527,-0.140478134,0.145150244,0.89016366,-0.112721555,0.06444817,0.89671725,-0.1797916,0.08769457,0.9903536,Approaching
147,no,unknown,unknown,unknown,yes,unknown,unknown,25,unknown,-15,0,35,-0.001675972,3,0.150186866,-0.119797312,0.278909981,0.8567446,0.024157243,0.058280755,0.8730465,-0.108350962,0.281326026,0.941523552,-0.283673018,-0.006750207,1.00942457,-0.223640665,-0.058843836,1.009324,-0.102397434,0.2018181,0.947249651,-0.170936763,0.2165651,0.9287915,-0.059970513,0.144057542,0.945583642,-0.258185863,-0.03313789,1.02694988,-0.1798495,0.08747157,0.990492,-0.121476613,0.1736877,0.958961666,-0.140436947,0.145140216,0.8903474,-0.11186862,0.06459421,0.896743059,-0.1798495,0.08747157,0.990492,Approaching
148,no,unknown,unknown,unknown,yes,unknown,unknown,25,unknown,-15,0,35,-0.001675972,3,0.150186866,-0.119797312,0.278909981,0.8567446,0.024157243,0.058280755,0.8730465,-0.108350962,0.281326026,0.941523552,-0.283673018,-0.006750207,1.00942457,-0.223640665,-0.058843836,1.009324,-0.102397434,0.2018181,0.947249651,-0.170936763,0.2165651,0.9287915,-0.059970513,0.144057542,0.945583642,-0.258185863,-0.03313789,1.02694988,-0.1798495,0.08747157,0.990492,-0.121476613,0.1736877,0.958961666,-0.140436947,0.145140216,0.8903474,-0.11186862,0.06459421,0.896743059,-0.1798495,0.08747157,0.990492,Approaching
149,no,no,no,no,no,no,no,-5,no,-5,0,-5,-0.001000123,3,0.14949788,-0.121050261,0.280017763,0.857908368,0.024187405,0.058352035,0.8731865,-0.108769685,0.281290025,0.9422352,-0.2836532,-0.006704449,1.00939369,-0.2236983,-0.058833525,1.00933373,-0.102504969,0.201937884,0.947542,-0.170978457,0.216765,0.928981364,-0.05993546,0.144123346,0.945706844,-0.258185774,-0.033116203,1.02690113,-0.179895073,0.08745998,0.9905715,-0.121591263,0.173788965,0.95924,-0.1410397,0.146791175,0.890767336,-0.110960178,0.06454026,0.897066355,-0.179895073,0.08745998,0.9905715,Approaching
150,no,no,no,no,no,no,no,-5,no,-5,0,-5,-0.001000123,3,0.14949788,-0.121050261,0.280017763,0.857908368,0.024187405,0.058352035,0.8731865,-0.108769685,0.281290025,0.9422352,-0.2836532,-0.006704449,1.00939369,-0.2236983,-0.058833525,1.00933373,-0.102504969,0.201937884,0.947542,-0.170978457,0.216765,0.928981364,-0.05993546,0.144123346,0.945706844,-0.258185774,-0.033116203,1.02690113,-0.179895073,0.08745998,0.9905715,-0.121591263,0.173788965,0.95924,-0.1410397,0.146791175,0.890767336,-0.110960178,0.06454026,0.897066355,-0.179895073,0.08745998,0.9905715,Approaching
151,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.021859856,3,0.149016351,-0.121863768,0.280240357,0.8585158,0.024214096,0.058427382,0.873289466,-0.109137729,0.281230271,0.9428119,-0.285764515,-0.004061349,1.01228857,-0.227303088,-0.05725855,1.01356673,-0.102565311,0.202085346,0.9477573,-0.170991957,0.216872811,0.929116845,-0.059904348,0.1441938,0.945794344,-0.26095742,-0.031030005,1.0303663,-0.1807977,0.08807351,0.9918781,-0.121805914,0.174054548,0.9596909,-0.141471311,0.147724792,0.891156,-0.110171884,0.06443618,0.8970022,-0.1807977,0.08807351,0.9918781,Approaching
152,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.021859856,3,0.149016351,-0.121863768,0.280240357,0.8585158,0.024214096,0.058427382,0.873289466,-0.109137729,0.281230271,0.9428119,-0.285764515,-0.004061349,1.01228857,-0.227303088,-0.05725855,1.01356673,-0.102565311,0.202085346,0.9477573,-0.170991957,0.216872811,0.929116845,-0.059904348,0.1441938,0.945794344,-0.26095742,-0.031030005,1.0303663,-0.1807977,0.08807351,0.9918781,-0.121805914,0.174054548,0.9596909,-0.141471311,0.147724792,0.891156,-0.110171884,0.06443618,0.8970022,-0.1807977,0.08807351,0.9918781,Approaching
153,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.055769358,3,0.148115794,-0.121852368,0.279778153,0.859023869,0.024323084,0.058556065,0.8733805,-0.109386548,0.281336427,0.943307638,-0.287992239,0.000164296,1.01238656,-0.228856564,-0.05531445,1.015688,-0.102364466,0.202420592,0.9479286,-0.170979038,0.216963485,0.929279745,-0.059790365,0.144318074,0.945870042,-0.262733638,-0.028211858,1.03149557,-0.1812552,0.08915734,0.992460668,-0.121730119,0.174541369,0.959961832,-0.14146255,0.14801544,0.891527653,-0.109342538,0.064038165,0.897012532,-0.1812552,0.08915734,0.992460668,Approaching
154,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.055769358,3,0.148115794,-0.121852368,0.279778153,0.859023869,0.024323084,0.058556065,0.8733805,-0.109386548,0.281336427,0.943307638,-0.287992239,0.000164296,1.01238656,-0.228856564,-0.05531445,1.015688,-0.102364466,0.202420592,0.9479286,-0.170979038,0.216963485,0.929279745,-0.059790365,0.144318074,0.945870042,-0.262733638,-0.028211858,1.03149557,-0.1812552,0.08915734,0.992460668,-0.121730119,0.174541369,0.959961832,-0.14146255,0.14801544,0.891527653,-0.109342538,0.064038165,0.897012532,-0.1812552,0.08915734,0.992460668,Approaching
155,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.074884426,3,0.146341381,-0.113895617,0.2920209,0.856893361,0.024355525,0.058611926,0.8734533,-0.1096245,0.2815685,0.943785548,-0.289049476,0.002032509,1.01241326,-0.229787022,-0.054301545,1.01685941,-0.102231041,0.20264703,0.948071241,-0.170994923,0.21694392,0.9295319,-0.05975374,0.144369245,0.9459283,-0.263723463,-0.02678592,1.03207433,-0.181601942,0.089844756,0.992861569,-0.121696755,0.174874812,0.960178,-0.1366565,0.160444692,0.8891249,-0.109460756,0.06406624,0.8971685,-0.181601942,0.089844756,0.992861569,Approaching
156,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.074884426,3,0.146341381,-0.113895617,0.2920209,0.856893361,0.024355525,0.058611926,0.8734533,-0.1096245,0.2815685,0.943785548,-0.289049476,0.002032509,1.01241326,-0.229787022,-0.054301545,1.01685941,-0.102231041,0.20264703,0.948071241,-0.170994923,0.21694392,0.9295319,-0.05975374,0.144369245,0.9459283,-0.263723463,-0.02678592,1.03207433,-0.181601942,0.089844756,0.992861569,-0.121696755,0.174874812,0.960178,-0.1366565,0.160444692,0.8891249,-0.109460756,0.06406624,0.8971685,-0.181601942,0.089844756,0.992861569,Approaching
157,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.094967466,3,0.145913256,-0.114037044,0.292133361,0.8568951,0.024368106,0.058694232,0.873511136,-0.109854028,0.2819395,0.9441569,-0.289881319,0.00368688,1.01234424,-0.230624586,-0.05302681,1.01798868,-0.102097973,0.203037634,0.9481822,-0.170976192,0.216961443,0.9296246,-0.059737306,0.144447267,0.945972,-0.264570326,-0.025298886,1.03256524,-0.1819517,0.09072479,0.9932099,-0.121676065,0.175393283,0.960363269,-0.136960387,0.160596684,0.889712036,-0.10958869,0.06387967,0.897363544,-0.1819517,0.09072479,0.9932099,Approaching
158,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.094967466,3,0.145913256,-0.114037044,0.292133361,0.8568951,0.024368106,0.058694232,0.873511136,-0.109854028,0.2819395,0.9441569,-0.289881319,0.00368688,1.01234424,-0.230624586,-0.05302681,1.01798868,-0.102097973,0.203037634,0.9481822,-0.170976192,0.216961443,0.9296246,-0.059737306,0.144447267,0.945972,-0.264570326,-0.025298886,1.03256524,-0.1819517,0.09072479,0.9932099,-0.121676065,0.175393283,0.960363269,-0.136960387,0.160596684,0.889712036,-0.10958869,0.06387967,0.897363544,-0.1819517,0.09072479,0.9932099,Approaching
