,face_engaged,face_glasses,face_happy,face_lefteyeclosed,face_lookingaway,face_mouthmoved,face_mouthopen,face_pitch,face_righteyeclosed,face_roll,face_yaw,hip_rot,index,shoulder_rot,timeStamp,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HeadX,HeadY,HeadZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,NeckX,NeckY,NeckZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,SpineBaseX,SpineBaseY,SpineBaseZ,SpineMidX,SpineMidY,SpineMidZ,SpineShoulderX,SpineShoulderY,SpineShoulderZ,WristLeftX,WristLeftY,WristLeftZ,WristRightX,WristRightY,WristRightZ,pedes_posX,pedes_posY,pedes_posZ
0,0,0,0,0,1,0,0,-40,0,15,-30,0.23424511034058482,1,0.6713498344893692,03:37:03,1.25867009,-0.3532809,4.04465532,1.26303,-0.176484048,4.03535128,1.2615664,0.155450523,4.13593435,1.28206575,-0.498611718,4.07221127,1.36287355,-0.418617249,4.091494,1.29284668,0.04666549,4.17918158,1.26610756,-0.09452283,4.107679,1.37154424,0.01985247,4.19144344,1.33267164,-0.462148279,4.11333275,1.31282914,-0.212505251,4.149829,1.29931319,-0.0179897714,4.17637634,1.23143137,-0.09412803,3.992154,1.228864,-0.22614266,3.985133,1.31282914,-0.212505251,4.149829
1,0,0,0,0,1,0,0,-40,0,15,-30,0.23424511034058482,1,0.6713498344893692,03:37:03,1.25867009,-0.3532809,4.04465532,1.26303,-0.176484048,4.03535128,1.2615664,0.155450523,4.13593435,1.28206575,-0.498611718,4.07221127,1.36287355,-0.418617249,4.091494,1.29284668,0.04666549,4.17918158,1.26610756,-0.09452283,4.107679,1.37154424,0.01985247,4.19144344,1.33267164,-0.462148279,4.11333275,1.31282914,-0.212505251,4.149829,1.29931319,-0.0179897714,4.17637634,1.23143137,-0.09412803,3.992154,1.228864,-0.22614266,3.985133,1.31282914,-0.212505251,4.149829
2,0,0,0,0,0,0,0,-60,0,-20,40,0.052993021729014586,1,0.5878718624376574,03:37:03,1.25626469,-0.279310584,3.92941761,1.30658376,-0.187075466,3.987599,1.26627064,0.15703547,4.09495163,1.273249,-0.5696529,4.0456214,1.36195028,-0.495837241,4.05032635,1.28981793,0.0475336052,4.1450963,1.25511253,-0.08543516,4.07691765,1.372955,0.01707418,4.155457,1.32778,-0.5369428,4.079139,1.31329274,-0.245623887,4.11921453,1.29623818,-0.0234865677,4.14129734,1.44345379,-0.244157761,3.92719,1.16174233,-0.297759026,3.90599012,1.31329274,-0.245623887,4.11921453
3,0,0,0,0,0,0,0,-60,0,-20,40,0.052993021729014586,1,0.5878718624376574,03:37:03,1.25626469,-0.279310584,3.92941761,1.30658376,-0.187075466,3.987599,1.26627064,0.15703547,4.09495163,1.273249,-0.5696529,4.0456214,1.36195028,-0.495837241,4.05032635,1.28981793,0.0475336052,4.1450963,1.25511253,-0.08543516,4.07691765,1.372955,0.01707418,4.155457,1.32778,-0.5369428,4.079139,1.31329274,-0.245623887,4.11921453,1.29623818,-0.0234865677,4.14129734,1.44345379,-0.244157761,3.92719,1.16174233,-0.297759026,3.90599012,1.31329274,-0.245623887,4.11921453
4,0,0,0,0,0,0,0,-55,0,15,-25,0.15570045244331474,1,0.5855172095941787,03:37:03,1.20340967,-0.267397016,3.94379878,1.2959646,-0.19197014,3.97400665,1.26404333,0.157016233,4.08694124,1.267046,-0.5693463,4.04051638,1.34903157,-0.498778015,4.05338573,1.2868706,0.0452566631,4.12783432,1.264269,-0.08394331,4.06545,1.36884081,0.00267106434,4.13479,1.31903768,-0.5377295,4.07646132,1.30611634,-0.245848328,4.11036873,1.29196239,-0.026169,4.12604856,1.38650227,-0.2563311,3.92320824,1.15534317,-0.304562658,3.90776515,1.30611634,-0.245848328,4.11036873
5,0,0,0,0,0,0,0,-55,0,15,-25,0.15570045244331474,1,0.5855172095941787,03:37:03,1.20340967,-0.267397016,3.94379878,1.2959646,-0.19197014,3.97400665,1.26404333,0.157016233,4.08694124,1.267046,-0.5693463,4.04051638,1.34903157,-0.498778015,4.05338573,1.2868706,0.0452566631,4.12783432,1.264269,-0.08394331,4.06545,1.36884081,0.00267106434,4.13479,1.31903768,-0.5377295,4.07646132,1.30611634,-0.245848328,4.11036873,1.29196239,-0.026169,4.12604856,1.38650227,-0.2563311,3.92320824,1.15534317,-0.304562658,3.90776515,1.30611634,-0.245848328,4.11036873
6,0,0,0,0,1,0,0,-45,0,5,-35,0.2755686907566644,1,0.15162261333455815,03:37:03,1.175805,-0.139553055,3.92998743,1.30965376,-0.1910241,3.91740084,1.29253542,0.166633487,4.00620937,1.23653364,-0.28587088,4.02262259,1.33138752,-0.330352724,4.04944372,1.30125284,0.0637860745,4.066945,1.21808851,0.07977343,4.04448843,1.37084961,0.00301227882,4.06782961,1.2939899,-0.310519964,4.0675416,1.29999554,-0.120705858,4.0705266,1.302566,0.0201957226,4.066847,1.24400389,-0.316596329,3.870073,1.221364,-0.29322964,3.78735018,1.29999554,-0.120705858,4.0705266
7,0,0,0,0,1,0,0,-45,0,5,-35,0.2755686907566644,1,0.15162261333455815,03:37:03,1.175805,-0.139553055,3.92998743,1.30965376,-0.1910241,3.91740084,1.29253542,0.166633487,4.00620937,1.23653364,-0.28587088,4.02262259,1.33138752,-0.330352724,4.04944372,1.30125284,0.0637860745,4.066945,1.21808851,0.07977343,4.04448843,1.37084961,0.00301227882,4.06782961,1.2939899,-0.310519964,4.0675416,1.29999554,-0.120705858,4.0705266,1.302566,0.0201957226,4.066847,1.24400389,-0.316596329,3.870073,1.221364,-0.29322964,3.78735018,1.29999554,-0.120705858,4.0705266
8,0,0,0,0,1,0,0,-55,0,10,-40,0.2614855042021018,1,0.20539692572416526,03:37:03,1.19342244,-0.110583596,3.97297168,1.34900928,-0.237194255,3.91787648,1.306474,0.165100187,3.99372983,1.23759186,-0.285265565,4.02689075,1.33808637,-0.3339137,4.05378437,1.30229819,0.0697988346,4.051218,1.22089648,0.07964862,4.04255056,1.41608083,-0.0233306233,4.08321428,1.29685557,-0.311169326,4.073229,1.3021,-0.120210841,4.07194757,1.30359852,0.0227673482,4.05996847,1.18380666,-0.2854439,3.869977,1.42531812,-0.2893337,4.10711527,1.3021,-0.120210841,4.07194757
9,0,0,0,0,1,0,0,-55,0,10,-40,0.2614855042021018,1,0.20539692572416526,03:37:03,1.19342244,-0.110583596,3.97297168,1.34900928,-0.237194255,3.91787648,1.306474,0.165100187,3.99372983,1.23759186,-0.285265565,4.02689075,1.33808637,-0.3339137,4.05378437,1.30229819,0.0697988346,4.051218,1.22089648,0.07964862,4.04255056,1.41608083,-0.0233306233,4.08321428,1.29685557,-0.311169326,4.073229,1.3021,-0.120210841,4.07194757,1.30359852,0.0227673482,4.05996847,1.18380666,-0.2854439,3.869977,1.42531812,-0.2893337,4.10711527,1.3021,-0.120210841,4.07194757
