,face_engaged,face_glasses,face_happy,face_lefteyeclosed,face_lookingaway,face_mouthmoved,face_mouthopen,face_pitch,face_righteyeclosed,face_roll,face_yaw,hip_rot,index,shoulder_rot,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HeadX,HeadY,HeadZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,NeckX,NeckY,NeckZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,SpineBaseX,SpineBaseY,SpineBaseZ,SpineMidX,SpineMidY,SpineMidZ,SpineShoulderX,SpineShoulderY,SpineShoulderZ,WristLeftX,WristLeftY,WristLeftZ,WristRightX,WristRightY,WristRightZ,pedes_posX,pedes_posY,pedes_posZ
0,0,0,0,0,1,0,0,10,0,15,35,-0.38180302734010213,1,-0.48420759046925926,0.122031294,0.151137263,1.99546742,0.514925361,0.205472946,1.7873348,0.241817981,0.6679301,1.91933906,0.245761231,-0.0484881029,1.85984588,0.376294553,-0.0309394635,1.80743611,0.3045826,0.544128358,1.927637,0.1440012,0.40040794,1.98337138,0.4342841,0.425810844,1.8306911,0.3169788,-0.040464893,1.86855483,0.311669976,0.257982939,1.90406191,0.306658268,0.474214315,1.92381477,0.0556577966,-0.04531285,1.88860047,0.4892822,-0.0177347716,1.61423135,0.311669976,0.257982939,1.90406191
1,0,0,0,0,1,0,0,10,0,15,35,-0.38180302734010213,1,-0.48420759046925926,0.122031294,0.151137263,1.99546742,0.514925361,0.205472946,1.7873348,0.241817981,0.6679301,1.91933906,0.245761231,-0.0484881029,1.85984588,0.376294553,-0.0309394635,1.80743611,0.3045826,0.544128358,1.927637,0.1440012,0.40040794,1.98337138,0.4342841,0.425810844,1.8306911,0.3169788,-0.040464893,1.86855483,0.311669976,0.257982939,1.90406191,0.306658268,0.474214315,1.92381477,0.0556577966,-0.04531285,1.88860047,0.4892822,-0.0177347716,1.61423135,0.311669976,0.257982939,1.90406191
2,0,0,0,0,1,0,0,10,0,20,30,-0.38079065235682463,1,-0.4830541408387891,0.121414445,0.151071534,1.99544954,0.5145662,0.205349177,1.78747022,0.241481274,0.667798,1.91935945,0.245485738,-0.04853031,1.85979748,0.376172632,-0.0309539866,1.80747962,0.304249227,0.544136167,1.92771983,0.143608749,0.400329918,1.98306859,0.434034973,0.4258409,1.83074033,0.316784739,-0.04049215,1.86856389,0.311395615,0.257971525,1.90410781,0.306337535,0.4742171,1.92388856,0.0553917475,-0.0453918539,1.88848591,0.4891122,-0.0178325772,1.61431658,0.311395615,0.257971525,1.90410781
3,0,0,0,0,1,0,0,10,0,20,30,-0.38079065235682463,1,-0.4830541408387891,0.121414445,0.151071534,1.99544954,0.5145662,0.205349177,1.78747022,0.241481274,0.667798,1.91935945,0.245485738,-0.04853031,1.85979748,0.376172632,-0.0309539866,1.80747962,0.304249227,0.544136167,1.92771983,0.143608749,0.400329918,1.98306859,0.434034973,0.4258409,1.83074033,0.316784739,-0.04049215,1.86856389,0.311395615,0.257971525,1.90410781,0.306337535,0.4742171,1.92388856,0.0553917475,-0.0453918539,1.88848591,0.4891122,-0.0178325772,1.61431658,0.311395615,0.257971525,1.90410781
4,0,0,0,0,1,0,0,10,0,15,30,-0.38078239465098984,1,-0.4824491284229342,0.120987751,0.151079923,1.99543607,0.514263749,0.2050869,1.787695,0.241142288,0.6676894,1.91955125,0.24514,-0.0484880358,1.85996425,0.3759399,-0.0308639,1.80760241,0.303886831,0.5441864,1.92779911,0.1433093,0.4004752,1.98300385,0.433824033,0.425902843,1.83085322,0.316485465,-0.0404225253,1.86871147,0.311049849,0.2580338,1.90422821,0.305977046,0.4742706,1.92397916,0.0549496226,-0.04570248,1.88834167,0.488869965,-0.0181661118,1.61463714,0.311049849,0.2580338,1.90422821
5,0,0,0,0,1,0,0,-25,0,-10,35,-0.017882838405393366,3,-0.108851559011494,-0.8379542,0.0491041131,1.40829825,-0.4579535,0.0623477958,1.27431345,-0.6777548,0.360647261,1.194065,-0.759779632,0.0585913025,1.532455,-0.6200725,0.0429670066,1.52995634,-0.6486286,0.28899616,1.2657125,-0.8198421,0.209897026,1.34379244,-0.5347395,0.2504746,1.31263542,-0.6994729,0.051407937,1.55228829,-0.677887559,0.171752855,1.41404855,-0.656378269,0.260551929,1.30445182,-0.843846262,-0.108752981,1.4413991,-0.5042152,-0.06581116,1.145681,-0.677887559,0.171752855,1.41404855
6,0,0,0,0,1,0,0,10,0,15,30,-0.38078239465098984,1,-0.4824491284229342,0.120987751,0.151079923,1.99543607,0.514263749,0.2050869,1.787695,0.241142288,0.6676894,1.91955125,0.24514,-0.0484880358,1.85996425,0.3759399,-0.0308639,1.80760241,0.303886831,0.5441864,1.92779911,0.1433093,0.4004752,1.98300385,0.433824033,0.425902843,1.83085322,0.316485465,-0.0404225253,1.86871147,0.311049849,0.2580338,1.90422821,0.305977046,0.4742706,1.92397916,0.0549496226,-0.04570248,1.88834167,0.488869965,-0.0181661118,1.61463714,0.311049849,0.2580338,1.90422821
7,0,0,0,0,1,0,0,-25,0,-10,35,-0.017882838405393366,3,-0.108851559011494,-0.8379542,0.0491041131,1.40829825,-0.4579535,0.0623477958,1.27431345,-0.6777548,0.360647261,1.194065,-0.759779632,0.0585913025,1.532455,-0.6200725,0.0429670066,1.52995634,-0.6486286,0.28899616,1.2657125,-0.8198421,0.209897026,1.34379244,-0.5347395,0.2504746,1.31263542,-0.6994729,0.051407937,1.55228829,-0.677887559,0.171752855,1.41404855,-0.656378269,0.260551929,1.30445182,-0.843846262,-0.108752981,1.4413991,-0.5042152,-0.06581116,1.145681,-0.677887559,0.171752855,1.41404855
8,0,0,0,0,1,0,0,10,0,15,30,-0.3788769333869304,1,-0.48158866991205107,0.120204777,0.1508653,1.99516582,0.5138427,0.20444712,1.7874738,0.240899861,0.667553663,1.91951823,0.244782671,-0.0485455021,1.85977709,0.37575084,-0.0308967084,1.80763721,0.303584844,0.544111848,1.92779,0.14300552,0.400486916,1.98286617,0.433718681,0.425881267,1.83093023,0.316221476,-0.0404667929,1.8686583,0.310755223,0.257974982,1.90419888,0.30567503,0.474199951,1.92396522,0.05464388,-0.0457381643,1.88804948,0.488705158,-0.018791711,1.6143651,0.310755223,0.257974982,1.90419888
9,0,0,0,0,1,0,0,10,0,15,30,-0.3788769333869304,1,-0.48158866991205107,0.120204777,0.1508653,1.99516582,0.5138427,0.20444712,1.7874738,0.240899861,0.667553663,1.91951823,0.244782671,-0.0485455021,1.85977709,0.37575084,-0.0308967084,1.80763721,0.303584844,0.544111848,1.92779,0.14300552,0.400486916,1.98286617,0.433718681,0.425881267,1.83093023,0.316221476,-0.0404667929,1.8686583,0.310755223,0.257974982,1.90419888,0.30567503,0.474199951,1.92396522,0.05464388,-0.0457381643,1.88804948,0.488705158,-0.018791711,1.6143651,0.310755223,0.257974982,1.90419888
