,face_engaged,face_glasses,face_happy,face_lefteyeclosed,face_lookingaway,face_mouthmoved,face_mouthopen,face_pitch,face_righteyeclosed,face_roll,face_size,face_yaw,hip_rot,index,shoulder_rot,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HeadX,HeadY,HeadZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,NeckX,NeckY,NeckZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,SpineBaseX,SpineBaseY,SpineBaseZ,SpineMidX,SpineMidY,SpineMidZ,SpineShoulderX,SpineShoulderY,SpineShoulderZ,WristLeftX,WristLeftY,WristLeftZ,WristRightX,WristRightY,WristRightZ,pedes_posX,pedes_posY,pedes_posZ
851,yes,yes,no,no,no,no,no,10,no,-15,0.0,-10,-0.06831646867586892,1,-0.01916091223905565,-0.2839479,0.0399297662,1.01140845,0.0169470087,0.00742563233,1.00796568,-0.08733208,0.279652476,0.980971336,-0.08670165,-0.128187478,1.17466462,0.00917738,-0.1210072,1.16810429,-0.110927135,0.176466674,0.9870003,-0.194045335,0.165339068,1.04431057,-0.0416936427,0.151830062,1.041391,-0.03965683,-0.127332658,1.196967,-0.07696259,0.0283405278,1.09947658,-0.103147924,0.140363827,1.01689672,-0.426346451,-0.08182717,1.08320117,0.08479759,-0.157071233,0.9311842,-0.07696259,0.0283405278,1.09947658
852,yes,yes,no,no,no,no,no,10,no,-15,0.0,-10,-0.06831646867586892,1,-0.01916091223905565,-0.2839479,0.0399297662,1.01140845,0.0169470087,0.00742563233,1.00796568,-0.08733208,0.279652476,0.980971336,-0.08670165,-0.128187478,1.17466462,0.00917738,-0.1210072,1.16810429,-0.110927135,0.176466674,0.9870003,-0.194045335,0.165339068,1.04431057,-0.0416936427,0.151830062,1.041391,-0.03965683,-0.127332658,1.196967,-0.07696259,0.0283405278,1.09947658,-0.103147924,0.140363827,1.01689672,-0.426346451,-0.08182717,1.08320117,0.08479759,-0.157071233,0.9311842,-0.07696259,0.0283405278,1.09947658
853,yes,yes,no,no,no,no,no,10,no,-15,0.0,-10,-0.06292267515299368,1,-0.09686151335728208,-0.286398143,0.04027791,1.01455188,0.0122002019,0.0154814078,1.01138222,-0.085979,0.278954446,0.9786204,-0.0869964,-0.126122877,1.17446351,0.009240081,-0.11729911,1.1684,-0.107783951,0.1740569,0.9807367,-0.194403574,0.165307686,1.038607,-0.0347746164,0.165964708,1.02309656,-0.0397935472,-0.124450266,1.1969409,-0.07587766,0.0287735052,1.09683061,-0.100484729,0.138861582,1.01163137,-0.42624557,-0.08202887,1.08257937,0.05982759,-0.144940272,0.879251,-0.07587766,0.0287735052,1.09683061
854,yes,yes,no,no,no,no,no,10,no,-15,0.0,-10,-0.06292267515299368,1,-0.09686151335728208,-0.286398143,0.04027791,1.01455188,0.0122002019,0.0154814078,1.01138222,-0.085979,0.278954446,0.9786204,-0.0869964,-0.126122877,1.17446351,0.009240081,-0.11729911,1.1684,-0.107783951,0.1740569,0.9807367,-0.194403574,0.165307686,1.038607,-0.0347746164,0.165964708,1.02309656,-0.0397935472,-0.124450266,1.1969409,-0.07587766,0.0287735052,1.09683061,-0.100484729,0.138861582,1.01163137,-0.42624557,-0.08202887,1.08257937,0.05982759,-0.144940272,0.879251,-0.07587766,0.0287735052,1.09683061
855,yes,yes,no,no,no,no,no,10,no,-15,0.0,-5,-0.061519842633211363,1,-0.09883543560274015,-0.2888397,0.0399100743,1.01506412,0.0242611971,-0.0145801967,0.988729835,-0.0843307152,0.2783518,0.9765952,-0.08679974,-0.125132352,1.17439723,0.00995712,-0.114773482,1.16843724,-0.10702318,0.172766134,0.9775553,-0.195036024,0.163696319,1.03705752,-0.0334230438,0.167324692,1.02103221,-0.0393500961,-0.122708961,1.196896,-0.07511526,0.0289433226,1.09491241,-0.0996190757,0.137925446,1.00870168,-0.426071316,-0.08228528,1.08220446,0.140424848,-0.1665215,0.90518105,-0.07511526,0.0289433226,1.09491241
856,yes,yes,no,no,no,no,no,10,no,-15,0.0,-5,-0.061519842633211363,1,-0.09883543560274015,-0.2888397,0.0399100743,1.01506412,0.0242611971,-0.0145801967,0.988729835,-0.0843307152,0.2783518,0.9765952,-0.08679974,-0.125132352,1.17439723,0.00995712,-0.114773482,1.16843724,-0.10702318,0.172766134,0.9775553,-0.195036024,0.163696319,1.03705752,-0.0334230438,0.167324692,1.02103221,-0.0393500961,-0.122708961,1.196896,-0.07511526,0.0289433226,1.09491241,-0.0996190757,0.137925446,1.00870168,-0.426071316,-0.08228528,1.08220446,0.140424848,-0.1665215,0.90518105,-0.07511526,0.0289433226,1.09491241
857,yes,yes,no,no,no,no,no,10,no,-15,0.0,-10,-0.06616778825301431,1,-0.04554732258541304,-0.289382219,0.04369673,1.02069914,0.0169791859,0.018706724,0.9969036,-0.0819434151,0.27755785,0.9735457,-0.08723749,-0.122803532,1.1739912,0.009733532,-0.113163084,1.16756546,-0.10551665,0.171589658,0.9754756,-0.1906787,0.163689345,1.02634633,-0.03157551,0.168345526,1.01909459,-0.0396669134,-0.120681338,1.19622755,-0.07445158,0.0291561615,1.09314382,-0.09828947,0.137085289,1.00665939,-0.420144618,0.0253636762,1.085827,0.08935879,-0.100812055,0.9232927,-0.07445158,0.0291561615,1.09314382
858,yes,yes,no,no,no,no,no,10,no,-15,0.0,-10,-0.06616778825301431,1,-0.04554732258541304,-0.289382219,0.04369673,1.02069914,0.0169791859,0.018706724,0.9969036,-0.0819434151,0.27755785,0.9735457,-0.08723749,-0.122803532,1.1739912,0.009733532,-0.113163084,1.16756546,-0.10551665,0.171589658,0.9754756,-0.1906787,0.163689345,1.02634633,-0.03157551,0.168345526,1.01909459,-0.0396669134,-0.120681338,1.19622755,-0.07445158,0.0291561615,1.09314382,-0.09828947,0.137085289,1.00665939,-0.420144618,0.0253636762,1.085827,0.08935879,-0.100812055,0.9232927,-0.07445158,0.0291561615,1.09314382
859,no,no,no,no,no,no,no,10,no,-10,0.0,-10,-0.07242904010173182,1,-0.010187483173865624,-0.289395154,0.04487931,1.02120173,0.0174471419,0.0181159768,0.996265,-0.07924608,0.2769223,0.970564961,-0.0883257762,-0.123719618,1.17136979,0.00901198853,-0.114777669,1.16430736,-0.104508072,0.172504544,0.976544261,-0.189398751,0.163471133,1.02308655,-0.0315152667,0.16734226,1.021478,-0.0405851863,-0.121921264,1.19330072,-0.074233,0.02904746,1.09251773,-0.0976861343,0.137499839,1.00701988,-0.419803381,0.0253385622,1.08666277,0.08982626,-0.101368159,0.922598243,-0.074233,0.02904746,1.09251773
860,no,no,no,no,no,no,no,10,no,-10,0.0,-10,-0.07242904010173182,1,-0.010187483173865624,-0.289395154,0.04487931,1.02120173,0.0174471419,0.0181159768,0.996265,-0.07924608,0.2769223,0.970564961,-0.0883257762,-0.123719618,1.17136979,0.00901198853,-0.114777669,1.16430736,-0.104508072,0.172504544,0.976544261,-0.189398751,0.163471133,1.02308655,-0.0315152667,0.16734226,1.021478,-0.0405851863,-0.121921264,1.19330072,-0.074233,0.02904746,1.09251773,-0.0976861343,0.137499839,1.00701988,-0.419803381,0.0253385622,1.08666277,0.08982626,-0.101368159,0.922598243,-0.074233,0.02904746,1.09251773
861,yes,yes,no,no,no,yes,no,10,no,-15,0.0,-10,-0.0742703311469116,1,0.003584278411636764,-0.2902219,0.045811452,1.020535,0.0206991751,0.0192853287,0.99281925,-0.0766240358,0.276035637,0.9675146,-0.08886904,-0.124089383,1.16955733,0.008650427,-0.115408674,1.16230118,-0.103731327,0.173112556,0.976907,-0.188923255,0.163184822,1.02175868,-0.0312765725,0.1669963,1.02232373,-0.0410414822,-0.12241824,1.19137728,-0.07391014,0.0290265437,1.09164894,-0.0970937,0.13787207,1.007074,-0.419096261,0.024696596,1.08820629,0.08822324,-0.104960948,0.9228119,-0.07391014,0.0290265437,1.09164894
862,yes,yes,no,no,no,yes,no,10,no,-15,0.0,-10,-0.0742703311469116,1,0.003584278411636764,-0.2902219,0.045811452,1.020535,0.0206991751,0.0192853287,0.99281925,-0.0766240358,0.276035637,0.9675146,-0.08886904,-0.124089383,1.16955733,0.008650427,-0.115408674,1.16230118,-0.103731327,0.173112556,0.976907,-0.188923255,0.163184822,1.02175868,-0.0312765725,0.1669963,1.02232373,-0.0410414822,-0.12241824,1.19137728,-0.07391014,0.0290265437,1.09164894,-0.0970937,0.13787207,1.007074,-0.419096261,0.024696596,1.08820629,0.08822324,-0.104960948,0.9228119,-0.07391014,0.0290265437,1.09164894
863,no,no,no,no,no,no,no,10,no,-15,0.0,-10,-0.07822387188192831,1,0.008088464361242628,-0.290112853,0.0474391431,1.01972592,-0.0526812635,-0.000771269959,0.9686838,-0.0740838945,0.275062382,0.9641279,-0.08911971,-0.12425942,1.1674341,0.0086232,-0.116002031,1.15977263,-0.103317007,0.173493057,0.977115452,-0.187553823,0.163483217,1.01908839,-0.029578656,0.1671682,1.02036619,-0.04118141,-0.122790962,1.18904424,-0.07357885,0.0290186536,1.09056962,-0.09673127,0.138127014,1.00705659,-0.4184357,0.0222689416,1.08715975,0.09317518,-0.0523748435,0.9522731,-0.07357885,0.0290186536,1.09056962
