,face_engaged,face_glasses,face_happy,face_lefteyeclosed,face_lookingaway,face_mouthmoved,face_mouthopen,face_pitch,face_righteyeclosed,face_roll,face_yaw,hip_rot,index,shoulder_rot,timeStamp,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HeadX,HeadY,HeadZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,NeckX,NeckY,NeckZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,SpineBaseX,SpineBaseY,SpineBaseZ,SpineMidX,SpineMidY,SpineMidZ,SpineShoulderX,SpineShoulderY,SpineShoulderZ,WristLeftX,WristLeftY,WristLeftZ,WristRightX,WristRightY,WristRightZ,pedes_posX,pedes_posY,pedes_posZ
210,0,0,0,0,1,0,0,15,0,5,35,-0.14361110227773824,4,-0.1946521605348936,02:01:09,0.198867023,0.0702281445,2.89008546,0.6576665,0.100272812,2.72508669,0.424578667,0.5386323,2.77078581,0.3267043,-0.179546878,2.741779,0.4700358,-0.188580081,2.72105241,0.435986638,0.400717467,2.774863,0.262776226,0.305594444,2.81495667,0.585272133,0.279741555,2.751377,0.403545648,-0.1864581,2.76715136,0.420998484,0.110840723,2.778259,0.432705551,0.3293063,2.77805686,0.10580305,-0.168897063,2.84745836,0.713779569,-0.043353036,2.60292721,0.420998484,0.110840723,2.778259
211,0,0,0,0,1,0,0,15,0,5,35,-0.14361110227773824,4,-0.1946521605348936,02:01:09,0.198867023,0.0702281445,2.89008546,0.6576665,0.100272812,2.72508669,0.424578667,0.5386323,2.77078581,0.3267043,-0.179546878,2.741779,0.4700358,-0.188580081,2.72105241,0.435986638,0.400717467,2.774863,0.262776226,0.305594444,2.81495667,0.585272133,0.279741555,2.751377,0.403545648,-0.1864581,2.76715136,0.420998484,0.110840723,2.778259,0.432705551,0.3293063,2.77805686,0.10580305,-0.168897063,2.84745836,0.713779569,-0.043353036,2.60292721,0.420998484,0.110840723,2.778259
212,0,0,0,0,1,0,0,20,0,15,40,-0.16456545045134274,4,-0.22140552387394297,02:01:09,0.21228008,0.06501112,2.869034,0.6678791,0.110594086,2.72157764,0.418962151,0.5411085,2.7548933,0.344948828,-0.180385977,2.7203505,0.486592472,-0.186411291,2.69682813,0.440086246,0.4014431,2.760886,0.2687807,0.305908948,2.801178,0.5901785,0.2860605,2.72883272,0.4212257,-0.185806215,2.74417949,0.431215435,0.111596204,2.75912762,0.438152,0.330025971,2.76280022,0.119376458,-0.165913314,2.785253,0.7022148,-0.050460957,2.613677,0.431215435,0.111596204,2.75912762
213,0,0,0,0,1,0,0,20,0,15,40,-0.16456545045134274,4,-0.22140552387394297,02:01:09,0.21228008,0.06501112,2.869034,0.6678791,0.110594086,2.72157764,0.418962151,0.5411085,2.7548933,0.344948828,-0.180385977,2.7203505,0.486592472,-0.186411291,2.69682813,0.440086246,0.4014431,2.760886,0.2687807,0.305908948,2.801178,0.5901785,0.2860605,2.72883272,0.4212257,-0.185806215,2.74417949,0.431215435,0.111596204,2.75912762,0.438152,0.330025971,2.76280022,0.119376458,-0.165913314,2.785253,0.7022148,-0.050460957,2.613677,0.431215435,0.111596204,2.75912762
214,0,0,0,0,1,0,0,30,0,25,45,-0.3748393977951083,4,-0.5263665632031359,02:01:09,0.240165383,0.0409704968,2.76986456,0.472121626,0.06048034,2.574634,0.370671839,0.5420959,2.731006,0.319331676,-0.192464367,2.65707517,0.44520402,-0.172860608,2.60755181,0.404354572,0.4041073,2.7107296,0.259374231,0.2850756,2.75837874,0.448918223,0.2931826,2.64824486,0.387471557,-0.185348317,2.66809773,0.396994323,0.113452166,2.69561148,0.402869374,0.332523882,2.70921445,0.193754658,-0.139062524,2.62624264,0.4537655,-0.128421754,2.527955,0.396994323,0.113452166,2.69561148
215,0,0,0,0,1,0,0,30,0,25,45,-0.3748393977951083,4,-0.5263665632031359,02:01:09,0.240165383,0.0409704968,2.76986456,0.472121626,0.06048034,2.574634,0.370671839,0.5420959,2.731006,0.319331676,-0.192464367,2.65707517,0.44520402,-0.172860608,2.60755181,0.404354572,0.4041073,2.7107296,0.259374231,0.2850756,2.75837874,0.448918223,0.2931826,2.64824486,0.387471557,-0.185348317,2.66809773,0.396994323,0.113452166,2.69561148,0.402869374,0.332523882,2.70921445,0.193754658,-0.139062524,2.62624264,0.4537655,-0.128421754,2.527955,0.396994323,0.113452166,2.69561148
216,0,0,0,1,0,0,0,10,1,10,5,-0.9746306251885536,1,-0.04826706564536037,02:01:09,0.46177274,0.6860672,2.24938369,0.33805573,0.179031521,1.98610055,0.482041717,0.695372343,2.28057241,0.5037695,-0.149680182,2.09691429,0.568364263,-0.129327446,2.00171518,0.49221316,0.556396246,2.20460176,0.345915556,0.621608436,2.0600872,0.482576162,0.3936908,2.05348587,0.546366,-0.142221838,2.08924985,0.5208622,0.21370396,2.155701,0.5000356,0.472447872,2.195187,0.445618421,0.9059316,2.2770617,0.271788538,0.199080154,2.1709075,0.5208622,0.21370396,2.155701
217,0,0,0,1,0,0,0,10,1,10,5,-0.9746306251885536,1,-0.04826706564536037,02:01:09,0.46177274,0.6860672,2.24938369,0.33805573,0.179031521,1.98610055,0.482041717,0.695372343,2.28057241,0.5037695,-0.149680182,2.09691429,0.568364263,-0.129327446,2.00171518,0.49221316,0.556396246,2.20460176,0.345915556,0.621608436,2.0600872,0.482576162,0.3936908,2.05348587,0.546366,-0.142221838,2.08924985,0.5208622,0.21370396,2.155701,0.5000356,0.472447872,2.195187,0.445618421,0.9059316,2.2770617,0.271788538,0.199080154,2.1709075,0.5208622,0.21370396,2.155701
218,0,0,0,0,1,0,0,15,0,20,40,-0.6127863688314086,1,-0.6439930362197467,02:01:09,0.6438384,0.221769646,1.6905551,0.6411776,0.185166076,1.69883168,0.7055025,0.7157656,2.13241,0.786087155,-0.175634921,1.83652616,0.8821873,-0.1757071,1.7689606,0.7456877,0.6023719,2.02218,0.6798881,0.466231525,1.843991,0.7259722,0.424658477,1.80939257,0.850111842,-0.179350913,1.84106386,0.795996,0.219090208,1.94028616,0.756918967,0.5086199,2.004517,0.530965865,-0.0428063422,1.71353674,0.5407906,-0.01850728,1.71526814,0.795996,0.219090208,1.94028616
219,0,0,0,0,1,0,0,15,0,20,40,-0.6127863688314086,1,-0.6439930362197467,02:01:09,0.6438384,0.221769646,1.6905551,0.6411776,0.185166076,1.69883168,0.7055025,0.7157656,2.13241,0.786087155,-0.175634921,1.83652616,0.8821873,-0.1757071,1.7689606,0.7456877,0.6023719,2.02218,0.6798881,0.466231525,1.843991,0.7259722,0.424658477,1.80939257,0.850111842,-0.179350913,1.84106386,0.795996,0.219090208,1.94028616,0.756918967,0.5086199,2.004517,0.530965865,-0.0428063422,1.71353674,0.5407906,-0.01850728,1.71526814,0.795996,0.219090208,1.94028616
