,Unnamed: 0,face_engaged,face_glasses,face_happy,face_lefteyeclosed,face_lookingaway,face_mouthmoved,face_mouthopen,face_pitch,face_righteyeclosed,face_roll,face_size,face_yaw,hip_rot,index,shoulder_rot,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HeadX,HeadY,HeadZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,NeckX,NeckY,NeckZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,SpineBaseX,SpineBaseY,SpineBaseZ,SpineMidX,SpineMidY,SpineMidZ,SpineShoulderX,SpineShoulderY,SpineShoulderZ,WristLeftX,WristLeftY,WristLeftZ,WristRightX,WristRightY,WristRightZ,pedes_posX,pedes_posY,pedes_posZ
153,153,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.05576935842215425,3,0.1481157939576205,-0.121852368,0.27977815300000003,0.859023869,0.024323083500000002,0.058556065,0.8733805,-0.10938654800000001,0.281336427,0.943307638,-0.287992239,0.000164296478,1.01238656,-0.22885656399999998,-0.05531445,1.015688,-0.102364466,0.20242059199999998,0.9479286,-0.170979038,0.216963485,0.929279745,-0.0597903654,0.144318074,0.945870042,-0.262733638,-0.0282118581,1.03149557,-0.1812552,0.08915734,0.992460668,-0.121730119,0.17454136899999997,0.9599618320000001,-0.14146255,0.14801544,0.8915276529999999,-0.109342538,0.0640381649,0.8970125320000001,-0.1812552,0.08915734,0.992460668
154,154,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.05576935842215425,3,0.1481157939576205,-0.121852368,0.27977815300000003,0.859023869,0.024323083500000002,0.058556065,0.8733805,-0.10938654800000001,0.281336427,0.943307638,-0.287992239,0.000164296478,1.01238656,-0.22885656399999998,-0.05531445,1.015688,-0.102364466,0.20242059199999998,0.9479286,-0.170979038,0.216963485,0.929279745,-0.0597903654,0.144318074,0.945870042,-0.262733638,-0.0282118581,1.03149557,-0.1812552,0.08915734,0.992460668,-0.121730119,0.17454136899999997,0.9599618320000001,-0.14146255,0.14801544,0.8915276529999999,-0.109342538,0.0640381649,0.8970125320000001,-0.1812552,0.08915734,0.992460668
155,155,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.07488442631029782,3,0.14634138082674114,-0.11389561699999999,0.2920209,0.8568933609999999,0.0243555252,0.058611925700000005,0.8734533000000001,-0.10962449999999999,0.2815685,0.9437855479999999,-0.289049476,0.00203250861,1.01241326,-0.22978702199999998,-0.054301545,1.01685941,-0.102231041,0.20264703,0.948071241,-0.17099492300000002,0.21694392,0.9295319,-0.05975374,0.144369245,0.9459283000000002,-0.263723463,-0.02678592,1.03207433,-0.181601942,0.0898447558,0.9928615690000001,-0.121696755,0.174874812,0.9601780000000001,-0.13665650000000001,0.160444692,0.8891249,-0.10946075599999999,0.06406624,0.8971684999999999,-0.181601942,0.0898447558,0.9928615690000001
156,156,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.07488442631029782,3,0.14634138082674114,-0.11389561699999999,0.2920209,0.8568933609999999,0.0243555252,0.058611925700000005,0.8734533000000001,-0.10962449999999999,0.2815685,0.9437855479999999,-0.289049476,0.00203250861,1.01241326,-0.22978702199999998,-0.054301545,1.01685941,-0.102231041,0.20264703,0.948071241,-0.17099492300000002,0.21694392,0.9295319,-0.05975374,0.144369245,0.9459283000000002,-0.263723463,-0.02678592,1.03207433,-0.181601942,0.0898447558,0.9928615690000001,-0.121696755,0.174874812,0.9601780000000001,-0.13665650000000001,0.160444692,0.8891249,-0.10946075599999999,0.06406624,0.8971684999999999,-0.181601942,0.0898447558,0.9928615690000001
157,157,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.09496746572246964,3,0.14591325624537754,-0.114037044,0.29213336100000004,0.8568950999999999,0.024368105499999997,0.0586942323,0.873511136,-0.109854028,0.2819395,0.9441569,-0.28988131899999997,0.00368688,1.01234424,-0.23062458600000002,-0.05302681,1.01798868,-0.10209797300000001,0.203037634,0.9481822,-0.170976192,0.216961443,0.9296245999999999,-0.059737306100000005,0.144447267,0.9459719999999999,-0.264570326,-0.025298886,1.03256524,-0.1819517,0.09072479,0.9932099,-0.121676065,0.175393283,0.960363269,-0.136960387,0.16059668400000002,0.8897120359999999,-0.10958869,0.06387967,0.8973635440000001,-0.1819517,0.09072479,0.9932099
158,158,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.09496746572246964,3,0.14591325624537754,-0.114037044,0.29213336100000004,0.8568950999999999,0.024368105499999997,0.0586942323,0.873511136,-0.109854028,0.2819395,0.9441569,-0.28988131899999997,0.00368688,1.01234424,-0.23062458600000002,-0.05302681,1.01798868,-0.10209797300000001,0.203037634,0.9481822,-0.170976192,0.216961443,0.9296245999999999,-0.059737306100000005,0.144447267,0.9459719999999999,-0.264570326,-0.025298886,1.03256524,-0.1819517,0.09072479,0.9932099,-0.121676065,0.175393283,0.960363269,-0.136960387,0.16059668400000002,0.8897120359999999,-0.10958869,0.06387967,0.8973635440000001,-0.1819517,0.09072479,0.9932099
159,159,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.10733138881177552,3,0.1452765781232066,-0.114246286,0.292301029,0.8569386,0.02435716,0.0587113462,0.87355274,-0.1100433,0.282108068,0.944561958,-0.29037759999999996,0.004550159,1.01233506,-0.231187537,-0.05233468,1.01871252,-0.102066442,0.20317927,0.9482280999999999,-0.17096483699999998,0.21695494699999998,0.9297278520000001,-0.059744793899999996,0.1444599,0.946000159,-0.265112966,-0.0244881287,1.03288364,-0.18223398899999999,0.09118976,0.99343735,-0.12171424199999999,0.17562192699999998,0.9604651,-0.137416109,0.160798773,0.8902402,-0.10968696300000001,0.06383992,0.8976995999999999,-0.18223398899999999,0.09118976,0.99343735
160,160,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.10733138881177552,3,0.1452765781232066,-0.114246286,0.292301029,0.8569386,0.02435716,0.0587113462,0.87355274,-0.1100433,0.282108068,0.944561958,-0.29037759999999996,0.004550159,1.01233506,-0.231187537,-0.05233468,1.01871252,-0.102066442,0.20317927,0.9482280999999999,-0.17096483699999998,0.21695494699999998,0.9297278520000001,-0.059744793899999996,0.1444599,0.946000159,-0.265112966,-0.0244881287,1.03288364,-0.18223398899999999,0.09118976,0.99343735,-0.12171424199999999,0.17562192699999998,0.9604651,-0.137416109,0.160798773,0.8902402,-0.10968696300000001,0.06383992,0.8976995999999999,-0.18223398899999999,0.09118976,0.99343735
161,161,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.1184490510078759,3,0.14470390100287686,-0.114405453,0.292397857,0.8571833000000001,0.024353195,0.05877282,0.8736176,-0.110613585,0.28240785,0.944941163,-0.290756941,0.00536496937,1.0123879999999998,-0.231639192,-0.0516035669,1.01942337,-0.102014892,0.203508288,0.9483282,-0.170964316,0.216962785,0.9298449000000001,-0.05974534,0.14451736199999998,0.946052,-0.265544116,-0.0236776732,1.03323066,-0.18248963399999998,0.09178972,0.9937104999999999,-0.1217487,0.176041573,0.96062696,-0.13769377800000002,0.160875425,0.890829265,-0.10980381800000001,0.063773945,0.8979227540000001,-0.18248963399999998,0.09178972,0.9937104999999999
162,162,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.1184490510078759,3,0.14470390100287686,-0.114405453,0.292397857,0.8571833000000001,0.024353195,0.05877282,0.8736176,-0.110613585,0.28240785,0.944941163,-0.290756941,0.00536496937,1.0123879999999998,-0.231639192,-0.0516035669,1.01942337,-0.102014892,0.203508288,0.9483282,-0.170964316,0.216962785,0.9298449000000001,-0.05974534,0.14451736199999998,0.946052,-0.265544116,-0.0236776732,1.03323066,-0.18248963399999998,0.09178972,0.9937104999999999,-0.1217487,0.176041573,0.96062696,-0.13769377800000002,0.160875425,0.890829265,-0.10980381800000001,0.063773945,0.8979227540000001,-0.18248963399999998,0.09178972,0.9937104999999999
163,163,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.12662890915770406,3,0.14376881754891194,-0.114749596,0.2925058,0.8572975,0.02436106,0.0588204563,0.8736884,-0.111028507,0.2826672,0.9452290529999999,-0.290954828,0.0060577094599999996,1.01237226,-0.231909245,-0.05098849,1.01988935,-0.10192733300000001,0.203840673,0.9484652,-0.17098422300000002,0.2169799,0.9300053,-0.0597341135,0.144561052,0.9461107,-0.265788,-0.0229966678,1.03343213,-0.18263492,0.09231808,0.9939281999999999,-0.12173447,0.176443815,0.9608054,-0.137914225,0.160912678,0.891242564,-0.1099115,0.06367001,0.898111165,-0.18263492,0.09231808,0.9939281999999999
164,164,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.12662890915770406,3,0.14376881754891194,-0.114749596,0.2925058,0.8572975,0.02436106,0.0588204563,0.8736884,-0.111028507,0.2826672,0.9452290529999999,-0.290954828,0.0060577094599999996,1.01237226,-0.231909245,-0.05098849,1.01988935,-0.10192733300000001,0.203840673,0.9484652,-0.17098422300000002,0.2169799,0.9300053,-0.0597341135,0.144561052,0.9461107,-0.265788,-0.0229966678,1.03343213,-0.18263492,0.09231808,0.9939281999999999,-0.12173447,0.176443815,0.9608054,-0.137914225,0.160912678,0.891242564,-0.1099115,0.06367001,0.898111165,-0.18263492,0.09231808,0.9939281999999999
165,165,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.13266377597723414,3,0.14338743939145987,-0.11495547,0.292595,0.8574153,0.024354331200000003,0.05883438,0.873717368,-0.1111742,0.2828027,0.9454393390000001,-0.291121274,0.00651439745,1.01231313,-0.232129246,-0.05058414,1.02018547,-0.101902425,0.20401713300000002,0.9485124,-0.170987,0.21697214199999998,0.930066049,-0.05973783,0.144571111,0.9461280000000001,-0.265986651,-0.022548042200000003,1.033528,-0.18277220000000002,0.09264736,0.9940329999999999,-0.121759795,0.17667253300000002,0.960880458,-0.13808272800000002,0.160934627,0.891593635,-0.10989666,0.06363243610000001,0.89878875,-0.18277220000000002,0.09264736,0.9940329999999999
166,166,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.13266377597723414,3,0.14338743939145987,-0.11495547,0.292595,0.8574153,0.024354331200000003,0.05883438,0.873717368,-0.1111742,0.2828027,0.9454393390000001,-0.291121274,0.00651439745,1.01231313,-0.232129246,-0.05058414,1.02018547,-0.101902425,0.20401713300000002,0.9485124,-0.170987,0.21697214199999998,0.930066049,-0.05973783,0.144571111,0.9461280000000001,-0.265986651,-0.022548042200000003,1.033528,-0.18277220000000002,0.09264736,0.9940329999999999,-0.121759795,0.17667253300000002,0.960880458,-0.13808272800000002,0.160934627,0.891593635,-0.10989666,0.06363243610000001,0.89878875,-0.18277220000000002,0.09264736,0.9940329999999999
167,167,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.13851862713007546,3,0.14316972788000915,-0.11690425900000001,0.278933138,0.8627288340000001,0.024355532599999997,0.058830183,0.8737619000000001,-0.11126446699999999,0.282678545,0.9456751,-0.2911681,0.00687250448,1.0123415,-0.232321665,-0.05012299,1.02054536,-0.101869725,0.20408667600000002,0.9485609,-0.1710001,0.21696999999999997,0.9301216,-0.059733644100000004,0.14456301900000001,0.9461613000000001,-0.2661067,-0.022112937599999997,1.03369367,-0.182849139,0.09288291,0.9941625,-0.121758886,0.17678594600000003,0.9609583620000001,-0.14023329999999998,0.14783173800000002,0.8963336999999999,-0.109336041,0.06344983,0.89882946,-0.182849139,0.09288291,0.9941625
168,168,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.13851862713007546,3,0.14316972788000915,-0.11690425900000001,0.278933138,0.8627288340000001,0.024355532599999997,0.058830183,0.8737619000000001,-0.11126446699999999,0.282678545,0.9456751,-0.2911681,0.00687250448,1.0123415,-0.232321665,-0.05012299,1.02054536,-0.101869725,0.20408667600000002,0.9485609,-0.1710001,0.21696999999999997,0.9301216,-0.059733644100000004,0.14456301900000001,0.9461613000000001,-0.2661067,-0.022112937599999997,1.03369367,-0.182849139,0.09288291,0.9941625,-0.121758886,0.17678594600000003,0.9609583620000001,-0.14023329999999998,0.14783173800000002,0.8963336999999999,-0.109336041,0.06344983,0.89882946,-0.182849139,0.09288291,0.9941625
169,169,0,0,0,0,0,0,0,-5,0,-5,0.0,-5,0.14402617389246072,3,0.14238507548163135,-0.116354585,0.295950919,0.8586221340000001,0.0243506748,0.058881145,0.8738417629999999,-0.11178092699999999,0.28289842600000004,0.9461367,-0.2912212,0.0074101747,1.012294,-0.23247812699999998,-0.0496672578,1.02081358,-0.101818614,0.204394877,0.9487081,-0.171005249,0.21704953899999999,0.9302687,-0.05973297,0.14460711199999998,0.94622016,-0.266215861,-0.021590614700000003,1.03377318,-0.18296805,0.0933278,0.9943263000000001,-0.121776596,0.17715450000000002,0.9611365,-0.138534874,0.164284647,0.8924270000000001,-0.1095617,0.06301625,0.8992611999999999,-0.18296805,0.0933278,0.9943263000000001
